site_number	 element 	 time 	 value 	 unit 
01549600	Ca	2010-06-17 09:15:00	299.41613853	mmol/L
01549600	Ca	2010-08-10 12:15:00	364.289635211	mmol/L
01549600	Ca	2010-11-03 10:30:00	301.911273018	mmol/L
01549600	Ca	2011-01-04 11:30:00	261.989121214	mmol/L
01549600	Ca	2011-03-08 10:30:00	112.281051949	mmol/L
01549600	Ca	2011-05-11 13:15:00	256.998852238	mmol/L
01549600	Ca	2011-07-19 10:30:00	638.754428864	mmol/L
01549600	Ca	2011-09-26 10:15:00	299.41613853	mmol/L
01549600	Ca	2011-10-18 10:15:00	179.649683118	mmol/L
01549600	Ca	2011-12-13 11:45:00	189.630221069	mmol/L
01549600	Ca	2012-02-22 11:00:00	249.513448775	mmol/L
01549600	Ca	2012-04-24 12:30:00	299.41613853	mmol/L
01549600	Ca	2012-06-05 11:30:00	189.630221069	mmol/L
01549600	Ca	2012-08-22 12:15:00	389.240980089	mmol/L
01549600	Ca	2012-11-27 11:15:00	254.50371775	mmol/L
01549600	Ca	2013-01-15 10:00:00	164.678876191	mmol/L
01549600	Ca	2013-03-14 10:30:00	142.222665802	mmol/L
01549600	Ca	2013-05-14 13:00:00	152.203203753	mmol/L
01549600	Ca	2013-07-15 10:00:00	264.484255701	mmol/L
01549600	Ca	2013-09-23 10:45:00	501.522032038	mmol/L
01549600	Ca	2013-10-30 13:30:00	489.046359599	mmol/L
01549600	Ca	2013-12-10 14:15:00	299.41613853	mmol/L
01549600	Ca	2014-04-15 10:00:00	167.174010679	mmol/L
01549600	Ca	2014-06-12 11:30:00	294.425869554	mmol/L
01549700	Ca	2002-04-10 09:00:00	197.115624532	mmol/L
01549700	Ca	2002-06-03 07:30:00	217.076700434	mmol/L
01549700	Ca	2002-08-12 10:30:00	379.260442138	mmol/L
01549700	Ca	2002-11-13 14:30:00	276.95992814	mmol/L
01549700	Ca	2003-01-15 10:45:00	222.06696941	mmol/L
01549700	Ca	2003-03-12 13:30:00	232.047507361	mmol/L
01549700	Ca	2003-05-14 11:00:00	252.008583263	mmol/L
01549700	Ca	2003-07-17 09:45:00	314.386945456	mmol/L
01549700	Ca	2003-09-17 12:00:00	254.50371775	mmol/L
01549700	Ca	2003-10-15 11:15:00	214.581565946	mmol/L
01549700	Ca	2003-12-15 15:45:00	144.717800289	mmol/L
01549700	Ca	2004-04-22 11:30:00	184.639952093	mmol/L
01549700	Ca	2004-06-17 11:30:00	259.493986726	mmol/L
01549700	Ca	2004-08-26 11:45:00	242.028045312	mmol/L
01549700	Ca	2004-11-22 11:50:00	249.513448775	mmol/L
01549700	Ca	2005-01-24 12:45:00	212.086431459	mmol/L
01549700	Ca	2005-03-14 11:50:00	204.601027995	mmol/L
01549700	Ca	2005-05-18 11:30:00	239.532910824	mmol/L
01549700	Ca	2005-07-20 12:00:00	356.804231748	mmol/L
01549700	Ca	2005-09-28 11:45:00	421.67772843	mmol/L
01549700	Ca	2005-10-19 11:50:00	329.357752383	mmol/L
01549700	Ca	2005-12-28 11:45:00	259.493986726	mmol/L
01549700	Ca	2006-02-21 11:40:00	207.096162483	mmol/L
01549700	Ca	2006-04-19 12:20:00	202.105893508	mmol/L
01549700	Ca	2006-06-05 13:30:00	199.61075902	mmol/L
01549700	Ca	2006-08-10 13:15:00	301.911273018	mmol/L
01549700	Ca	2006-11-06 12:30:00	184.639952093	mmol/L
01549700	Ca	2007-01-09 14:40:00	157.193472728	mmol/L
01549700	Ca	2007-03-08 14:00:00	192.125355557	mmol/L
01549700	Ca	2007-05-15 14:00:00	189.630221069	mmol/L
01549700	Ca	2007-07-12 12:30:00	329.357752383	mmol/L
01549700	Ca	2007-09-17 13:30:00	376.76530765	mmol/L
01549700	Ca	2007-10-03 12:45:00	431.658266381	mmol/L
01549700	Ca	2007-12-03 12:30:00	182.144817606	mmol/L
01549700	Ca	2008-02-04 13:45:00	202.105893508	mmol/L
01549700	Ca	2008-04-08 13:15:00	139.727531314	mmol/L
01549700	Ca	2008-05-13 11:45:00	187.135086581	mmol/L
01549700	Ca	2008-06-05 14:30:00	222.06696941	mmol/L
01549700	Ca	2008-07-24 15:00:00	336.843155846	mmol/L
01549700	Ca	2008-08-07 15:30:00	374.270173162	mmol/L
01549700	Ca	2008-09-23 15:30:00	454.11447677	mmol/L
01549700	Ca	2008-09-29 13:15:00	301.911273018	mmol/L
01549700	Ca	2008-10-23 14:30:00	449.124207795	mmol/L
01549700	Ca	2008-11-18 14:30:00	346.823693797	mmol/L
01549700	Ca	2008-12-03 14:00:00	351.813962773	mmol/L
01549700	Ca	2009-02-10 14:00:00	309.396676481	mmol/L
01549700	Ca	2009-03-09 14:30:00	154.69833824	mmol/L
01549700	Ca	2009-04-30 14:15:00	212.086431459	mmol/L
01549700	Ca	2009-05-18 15:00:00	209.591296971	mmol/L
01549700	Ca	2009-06-22 13:15:00	194.620490044	mmol/L
01549700	Ca	2009-07-08 15:00:00	244.523179799	mmol/L
01549700	Ca	2009-08-06 13:45:00	219.571834922	mmol/L
01549700	Ca	2009-09-14 14:30:00	306.901541993	mmol/L
01549700	Ca	2009-09-28 17:30:00	314.386945456	mmol/L
01549700	Ca	2009-10-13 15:00:00	321.87234892	mmol/L
01549700	Ca	2009-11-24 14:45:00	232.047507361	mmol/L
01549700	Ca	2009-12-07 14:30:00	182.144817606	mmol/L
01549700	Ca	2010-01-25 15:15:00	244.523179799	mmol/L
01549700	Ca	2010-02-09 13:45:00	197.115624532	mmol/L
01549700	Ca	2010-03-15 14:15:00	124.756724387	mmol/L
01549700	Ca	2010-04-06 15:00:00	184.639952093	mmol/L
01549700	Ca	2010-05-12 10:30:00	169.669145167	mmol/L
01549700	Ca	2010-06-17 11:50:00	259.493986726	mmol/L
01549700	Ca	2010-07-12 15:00:00	286.940466091	mmol/L
01549700	Ca	2010-08-10 14:00:00	311.891810969	mmol/L
01549700	Ca	2010-09-14 15:00:00	339.338290334	mmol/L
01549700	Ca	2010-10-01 10:00:00	199.61075902	mmol/L
01549700	Ca	2010-10-19 10:30:00	252.008583263	mmol/L
01549700	Ca	2010-11-03 12:00:00	242.028045312	mmol/L
01549700	Ca	2010-12-01 12:30:00	154.69833824	mmol/L
01549700	Ca	2010-12-28 11:00:00	214.581565946	mmol/L
01549700	Ca	2011-01-04 13:00:00	207.096162483	mmol/L
01549700	Ca	2011-03-01 13:15:00	174.659414142	mmol/L
01549700	Ca	2011-03-07 10:30:00	124.756724387	mmol/L
01549700	Ca	2011-03-08 11:45:00	122.2615899	mmol/L
01549700	Ca	2011-04-12 10:45:00	134.737262338	mmol/L
01549700	Ca	2011-04-25 11:30:00	144.717800289	mmol/L
01549700	Ca	2011-04-27 13:15:00	132.242127851	mmol/L
01549700	Ca	2011-05-24 09:30:00	169.669145167	mmol/L
01549700	Ca	2011-06-15 10:45:00	284.445331603	mmol/L
01549700	Ca	2011-07-27 14:00:00	436.648535356	mmol/L
01549700	Ca	2011-08-16 12:30:00	406.706921503	mmol/L
01549700	Ca	2011-08-24 12:00:00	431.658266381	mmol/L
01549700	Ca	2011-09-08 09:45:00	212.086431459	mmol/L
01549700	Ca	2011-09-26 11:30:00	264.484255701	mmol/L
01549700	Ca	2011-09-29 09:45:00	182.144817606	mmol/L
01549700	Ca	2011-10-18 08:45:00	189.630221069	mmol/L
